,,,
,Work Package Ref,Service Reference,Work Package
,Work Package A - Contract Management,A.4,4.2.14.    A single Common Data Environment are for hosting building information models and any associated current state and achieved geometry in line with PAS1192:3;  
,Work Package A - Contract Management,A.4,4.2.15.    Building management system;
,Work Package A - Contract Management,A.4,4.2.16.    Routine maintenance;
,Work Package A - Contract Management,A.4,4.2.17.    Formulation of the PPM programme;
,Work Package A - Contract Management,A.4,"4.2.18.    Maintenance management, recording and reporting;"
,Work Package A - Contract Management,A.4,4.2.19.    Critical spares management;
,Work Package A - Contract Management,A.4,4.2.20.    Inspections;
,Work Package A - Contract Management,A.4,4.2.21.    Conservation and sustainability;
,Work Package A - Contract Management,A.4,4.2.22.    Maintenance and renewal;
,Work Package A - Contract Management,A.4,4.2.23.    Management arrangements;
,Work Package A - Contract Management,A.4,4.2.24.    Quality management;
,Work Package A - Contract Management,A.4,4.2.25.    Complaints management processes;
,Work Package A - Contract Management,A.4,4.2.26.    Operational liaison;
,Work Package A - Contract Management,A.4,4.2.27.    Reactive maintenance Service; and
,Work Package A - Contract Management,A.4,4.2.28.    Reactive vandalism maintenance Service.
,Work Package A - Contract Management,,
,Work Package A - Contract Management,,5.       Service A:5 - Fire Safety
,Work Package A - Contract Management,,5.1.    Service A:5 - Fire Safety is Mandatory for Lot 1a-lc.
,Work Package A - Contract Management,A.5,"5.2.    Where requested to do so, the Supplier shall provide a professional advice service on all matters relating to the Regulatory Reform (Fire Safety) Order 2005 for each Buyer Premises. The cost of this service shall be included in the Charges."
,Work Package A - Contract Management,A.5,5.3.    The Buyer may require fire precautions. This will be at an additional cost to the Buyer.
,Work Package A - Contract Management,,
,Work Package A - Contract Management,,6.       Service A:6 - Permit to Work
,Work Package A - Contract Management,,6.1.    Service A:6 Permit to work is Mandatory for Lot 1a-lc.
,Work Package A - Contract Management,A.6,6.2.    The Supplier shall:
,Work Package A - Contract Management,A.6,"6.2.1. Be responsible for issuing and managing all permits to work, including hot works permits for each Buyer Premises as required by the Buyer and shall ensure the provision of sufficient, suitably qualified and experienced Authorising Engineers (""AE"") and Authorised Persons (""AP"") required to effectively operate and administer the permit to work;"
,Work Package A - Contract Management,A.6,6.2.2. Also include the management and compliance with business unit specific access control requirements;
,Work Package A - Contract Management,A.6,6.2.3. Be required to manage and agree all third party consents as part of this process (for example landlords) before commencing works or Services. The Supplier shall liaise with the helpdesk and any estates management suppliers in order to comply with this requirement. All permits to work shall be supported by full risk assessments and method statements for undertaking the work;
,Work Package A - Contract Management,A.6,"6.2.4. Be responsible for the setting-up and the operation of a safe system of work, including risk assessments and method statements, with regard to all aspects of its operation. As part of this process the Supplier shall ensure that Supplier Staff and sub-contractors who are undertaking work at the Buyer Premises, consult the asbestos register and sign to indicate that this has been carried out;"
,Work Package A - Contract Management,A.6,6.2.5. Operate the permit to work system through the CAFM System. The Supplier shall ensure that the permit is approved by the Buyer and that the timing for when it can occur is agreed with the Buyer;
,Work Package A - Contract Management,A.6,"6.2.6. Be cognisant that the Buyer Authorised Representative will have access via a web portal to the CAFM System and to details of planned visits to Site, including the status of permit to work.  The Supplier shall not be allowed on an Buyer Premises should the permit to work not be indicated as authorised within the CAFM System; and"
,Work Package A - Contract Management,A.6,"6.2.7. Contact the Buyer Authorised Representative to show that the permit to work has been received, has the necessary authorisation and all of the relevant parties are aware of the programmed work or Service and the timescales for Delivery."
,Work Package A - Contract Management,,
,Work Package A - Contract Management,,7.       Service A:7 - Accessibility Services
,Work Package A - Contract Management,,7.1.    Service A: 7 - Accessibility Services is Mandatory for Lot 1a-lc.
,Work Package A - Contract Management,A.7,7.2.    The Supplier shall:
,Work Package A - Contract Management,A.7,7.2.1. Provide advice relating to the Equality Act 2010 including health and safety matters;
,Work Package A - Contract Management,A.7,7.2.2. Manage the procurement of specialist furniture and equipment (not IT equipment);
,Work Package A - Contract Management,A.7,"7.2.3. Ensure continuous interactions with the Buyer's Staff and stakeholders, including any Disability Advisor and the Occupational Health and Safety representatives;"
,Work Package A - Contract Management,A.7,7.2.4. Provide advice on further special needs issues including technical problem-solving regarding access and signage;
,Work Package A - Contract Management,A.7,7.2.5. Provide advice on health and safety matters as they relate to those with accessibility needs. The Supplier shall also take a pro-active approach and advise the Buyer of any investment that shall be made to improve the Buyer Premises. This includes access and egress for use of those with disabilities and to comply with the Equality Act 2010;
,Work Package A - Contract Management,A.7,"7.2.6. Manage the supply of furniture for those with accessibility needs, including orthopaedic chairs. Where the Buyer requires the Supplier to supply these furniture items they shall be managed via the Billable Works and Projects process; and"
,Work Package A - Contract Management,A.7,7.2.7. Provide advice relating to the Equality Act 2010 including Health and Safety matters.
,Work Package A - Contract Management,,
,Work Package A - Contract Management,,8.       Service A:8 - Risk management
,Work Package A - Contract Management,,8.1.    Service A:8 – Risk management is Mandatory for Lot 1a-1c.
,Work Package A - Contract Management,A.8,"8.2.    Where required and in conjunction with the Buyer, the Supplier shall construct a risk register for each Buyer Premises listed within the Call-Off Contract data. The Supplier shall have sole responsibility for the drafting and updating of the risk register."
,Work Package A - Contract Management,A.8,8.3.    The Supplier shall be required to operate business unit specific risk management systems including the drafting and updating of such systems.
,Work Package A - Contract Management,,
,Work Package A - Contract Management,,9.       Service A:9 – Customer satisfaction
,Work Package A - Contract Management,,9.1.    Service A:9 – Customer satisfaction is Mandatory for Lot 1a-1c.
,Work Package A - Contract Management,A.9,9.2.    The Supplier shall ensure that: 
,Work Package A - Contract Management,A.9,"9.2.1. They have processes in place to provide a proactive and responsive customer service, managing customer satisfaction to the agreed levels throughout the duration of the Framework Contract Period;"
,Work Package A - Contract Management,A.9,"9.2.2. They have processes in place for managing customer satisfaction, ensuring satisfactory customer service is provided to the Buyer, building users, occupants of Buyer housing, users of training facilities, all stakeholders and customers at all times;"
,Work Package A - Contract Management,A.9,"9.2.3. Their customer satisfaction processes align with the Buyer’s Quality Management System (""QMS"") where appropriate. Further information will be provided at Call-Off; and"
,Work Package A - Contract Management,A.9,"9.2.4. They administer the formal process for handling service failures, complaints and works Recall as set out in Appendix 2 – Complaints, Failure and Recall Process. "
,Work Package A - Contract Management,A.9,9.3.    The Supplier shall conduct customer satisfaction surveys as part of their ongoing commitment to continuous improvement and performance management (in addition to ensuring value for money). 
,Work Package A - Contract Management,A.9,9.4.    The Supplier's SDPs shall contain details of the proposed methodology for carrying out the customer satisfaction surveys including:
,Work Package A - Contract Management,A.9,"9.4.1. Survey method / medium (online, paper based etc.);"
,Work Package A - Contract Management,A.9,9.4.2. Approach to maximising survey responses;
,Work Package A - Contract Management,A.9,9.4.3. Sample / draft questionnaire; and
,Work Package A - Contract Management,A.9,9.4.4. Approach to the analysis of results.
,Work Package A - Contract Management,A.9,"9.5.    Where the customer satisfaction survey results are of a score less than the agreed satisfaction level (satisfaction level to be agreed by the Buyer at Call-Off stage), the Supplier shall investigate the cause of the dissatisfaction and produce an action plan to address the root cause of customer dissatisfaction, and where appropriate carry out further investigations to establish whether the cause of the dissatisfaction has been resolved."
,Work Package A - Contract Management,,
,Work Package A - Contract Management,,10.   Service A:10 – Reporting
,Work Package A - Contract Management,,10.1.Service A:10 – Reporting is Mandatory for Lot 1a-1c.
,Work Package A - Contract Management,A.10,10.2.The Supplier shall ensure that: 
,Work Package A - Contract Management,A.10,10.2.1.    All data used to generate reports is held within or is accessible by the CAFM System;
,Work Package A - Contract Management,A.10,10.2.2.    They deliver a dynamic reporting capability to the Buyer via electronic interface accessible via portal and web browser facility;
,Work Package A - Contract Management,A.10,"10.2.3.    The format, standard and frequency of reporting is developed and agreed with the Buyer and Delivered in accordance with their requirements; and"
,Work Package A - Contract Management,A.10,10.2.4.    The information required to report against its agreed KPIs is contained within the CAFM System and maintained accurately at all times.
,Work Package A - Contract Management,A.10,10.3.The Supplier shall provide a broad and comprehensive reporting solution under the following categories:
,Work Package A - Contract Management,A.10,10.3.1.    Industry-standard FM reports; and
,Work Package A - Contract Management,A.10,10.3.2.    Performance measurement and statistical reporting.
,Work Package A - Contract Management,A.10,10.4.The Supplier shall provide reports relating to the performance of the Supplier and statistical information relating to the Services being provided including:
,Work Package A - Contract Management,A.10,10.4.1.    Reportable incidents;
,Work Package A - Contract Management,A.10,10.4.2.    Real time Reporting;
,Work Package A - Contract Management,A.10,10.4.3.    Expert analysis reports;
,Work Package A - Contract Management,A.10,10.4.4.    Ad hoc reporting requirements;
,Work Package A - Contract Management,A.10,10.4.5.    Self-service reporting capability; 
,Work Package A - Contract Management,A.10,10.4.6.    Performance measurement and reporting; and 
,Work Package A - Contract Management,A.10,10.4.7.    Buyer Premises related drawings.
,Work Package A - Contract Management,,
,Work Package A - Contract Management,,Reportable incidents
,Work Package A - Contract Management,A.10,10.5.The Supplier shall inform the Buyer via the helpdesk service each time reportable incidents occur. These shall be recorded on the CAFM System and shall include: 
,Work Package A - Contract Management,A.10,"10.5.1.    Health And Safety accidents and incidents, to include HSE RIDDOR reports; "
,Work Package A - Contract Management,A.10,10.5.2.    Pollution and contamination incidents;
,Work Package A - Contract Management,A.10,10.5.3.    Statutory compliance failures;
,Work Package A - Contract Management,A.10,10.5.4.    Asset and system failures which may impact on business continuity;
,Work Package A - Contract Management,A.10,10.5.5.    Physical and document security breaches;
,Work Package A - Contract Management,A.10,10.5.6.    Service failures;  
,Work Package A - Contract Management,A.10,10.5.7.    Instances of wilful damage or vandalism;
,Work Package A - Contract Management,A.10,10.5.8.    Issues with the potential to disrupt energy and utility provision;
,Work Package A - Contract Management,A.10,10.5.9.    Staff disciplinary issues where associated with personal integrity which may have the potential to damage the reputation of the Buyer; and 
,Work Package A - Contract Management,A.10,10.5.10. Complaints.  
,Work Package A - Contract Management,A.10,10.6.Further information on the reporting requirements will be provided at Call-Off stage. 
,Work Package A - Contract Management,,
,Work Package A - Contract Management,,Expert analysis reports 
,Work Package A - Contract Management,A.10,"10.7.The Supplier shall compile and analyse a suite of specific reports which is to be agreed with the Buyer during the mobilisation period where applicable. This shall be in support of the Buyer's performance measurement and management of the Services.  The Supplier shall interpret the reports and provide a written commentary of its expert analysis, as specified by the Buyer."
,Work Package A - Contract Management,,
,Work Package A - Contract Management,,Ad hoc reporting requirements
,Work Package A - Contract Management,A.10,10.8.The Buyer may request the Supplier to create and generate ad hoc reports on its behalf;
,Work Package A - Contract Management,A.10,"10.9.Where necessary and agreed, the Supplier shall provide the reports with expert commentary, as specified by the Buyer; and"
,Work Package A - Contract Management,A.10,"10.10.                  The Buyer is answerable to Parliament and, on occasion, is required to respond to parliamentary questions regarding the Buyer's Buyer Premises on an urgent basis.  The Supplier shall comply with any such reasonable request in the event information is required under these circumstances."
,Work Package A - Contract Management,,
,Work Package A - Contract Management,,Self-service reporting capability
,Work Package A - Contract Management,A.10,"10.11.                  The Supplier shall provide the Buyer with the ability to modify existing reports, or design and store user-specific reports on an ad hoc basis, as specified by the Buyer."
,Work Package A - Contract Management,,
,Work Package A - Contract Management,,Supplier Performance measurement and reporting
,Work Package A - Contract Management,A.10,"10.12.                  The Supplier shall report on its own performance against the agreed KPIs and other measures reasonably requested by the Buyer.  These reports shall include summaries at region, establishment, business and Service level, as appropriate, for the following:"
,Work Package A - Contract Management,A.10,10.12.1. Achievement against KPI agreements;
,Work Package A - Contract Management,A.10,10.12.2. Achievement against social value initiatives;
,Work Package A - Contract Management,A.10,10.12.3. Reasons for failure to meet any KPI agreements;
,Work Package A - Contract Management,A.10,10.12.4. Performance failures accruing as a result of failure to meet KPI agreements;
,Work Package A - Contract Management,A.10,10.12.5. Levels of statutory compliance;
,Work Package A - Contract Management,A.10,10.12.6. Performance against sustainability plan;
,Work Package A - Contract Management,A.10,"10.12.7. Details of performance against planned maintenance activities, including reactive works generated from planned maintenance activities;"
,Work Package A - Contract Management,A.10,10.12.8. Details of Assets or systems taken out-of-service for health and safety or operational reasons;
,Work Package A - Contract Management,A.10,10.12.9. Details of recommendations generated from Planned maintenance works;
,Work Package A - Contract Management,A.10,10.12.10.                     Reasons for failure to complete planned statutory and mandatory inspections / tasks;
,Work Package A - Contract Management,A.10,10.12.11.                     Progress / status of work orders;
,Work Package A - Contract Management,A.10,10.12.12.                     Waste volumes;
,Work Package A - Contract Management,A.10,10.12.13.                     Complaints;
,Work Package A - Contract Management,A.10,10.12.14.                     Health and Safety accident reporting / RIDDOR reports;
,Work Package A - Contract Management,A.10,10.12.15.                     Environmental incidents;
,Work Package A - Contract Management,A.10,10.12.16.                     Security breaches;
,Work Package A - Contract Management,A.10,10.12.17.                     Achievement against the Delivery of statutory testing and inspections;
,Work Package A - Contract Management,A.10,10.12.18.                     Progress on outstanding actions; and
,Work Package A - Contract Management,A.10,10.12.19.                     Details of actions plans for the following Month which will be reviewed to check progress and track actions carried out to completion. The Buyer shall not unreasonably withhold or delay agreement of these action plans with the Supplier.
,Work Package A - Contract Management,A.10,"10.13.                  For performance measurement and reporting, the Supplier shall report against its performance through the following:"
,Work Package A - Contract Management,,
,Work Package A - Contract Management,,"Calculation of Supplier performance results against Annex E - Service Delivery Response Times, and the KPI agreements in the Supplier performance mechanism"
,Work Package A - Contract Management,A.10,10.14.                  The Supplier shall be required to input performance data relating to its operational KPIs into the CAFM System. 
,Work Package A - Contract Management,A.10,10.15.                  The Supplier shall collate the data required to calculate its performance against the obligations in the Supplier performance mechanism;
,Work Package A - Contract Management,A.10,10.16.                  The Supplier shall measure its performance each Month against each of their KPIs and calculate payment mechanism scores in accordance with its Supplier performance mechanism;
,Work Package A - Contract Management,,
,Work Package A - Contract Management,,Reporting Supplier performance data and associated information
,Work Package A - Contract Management,A.10,"10.17.                  During the mobilisation period, the Supplier shall provide a report for the Buyer on a Monthly basis. The format will be specified by the Buyer and agreed with the Supplier;"
,Work Package A - Contract Management,A.10,10.18.                  The Supplier shall provide a quarterly report to the Buyer detailing the performance scores and associated Deductions calculated;  and
,Work Package A - Contract Management,A.10,10.19.                  The Supplier shall provide a reconciliation report to the Buyer within seven (7) calendar days following the end of each quarter.
,Work Package A - Contract Management,A.10,"10.20.                  For statistical information reporting, the Supplier shall provide Monthly comprehensive Management Information statistics and trend analysis in relation to all aspects of the Services including:"
,Work Package A - Contract Management,A.10,"10.20.1. Inbound volume, by type and region;"
,Work Package A - Contract Management,A.10,"10.20.2. Completed Service requests, by inbound channel;"
,Work Package A - Contract Management,A.10,10.20.3. Average and maximum call waiting times;
,Work Package A - Contract Management,A.10,10.20.4. Average inbound call duration;
,Work Package A - Contract Management,A.10,10.20.5. Volume of duplicate Service requests;
,Work Package A - Contract Management,A.10,10.20.6. Total outbound calls;
,Work Package A - Contract Management,A.10,10.20.7. Benchmarking; and
,Work Package A - Contract Management,A.10,10.20.8. Volume of requests originated by the Supplier.
,Work Package A - Contract Management,A.10,"10.21.                  The Supplier shall provide the Buyer with any required reports, written information or statistical information in relation to the Services against all data held within the CAFM System. This will be in response to reasonable ad hoc requests from the Buyer."
,Work Package A - Contract Management,,
,Work Package A - Contract Management,,Drawings
,Work Package A - Contract Management,A.10,10.22.                  The Supplier shall: 
,Work Package A - Contract Management,A.10,10.22.1. Review existing Buyer drawings within the mobilisation period; and;
,Work Package A - Contract Management,A.10,10.22.2. Produce a report containing recommendations and budget costs for the update and reconciliation of all Buyer Premises drawings with the aim of bringing them up to date where practicable and to enable them to be issued to the Buyer to meet Buyer reporting requirements.
,Work Package A - Contract Management,A.10,10.23.                  Further details of this requirement will be provided by the Buyer at Call Off. The costs for this service shall be managed via the Billable Works and Projects process.
,Work Package A - Contract Management,,
,Work Package A - Contract Management,,11.   Service A:11 – Performance self-monitoring
,Work Package A - Contract Management,,11.1.Service A:11 – Performance self-monitoring is Mandatory for Lot 1a-lc.
,Work Package A - Contract Management,A.11,11.2.The Supplier is required to undertake a performance self-monitoring regime which is to be agreed with the Buyer. This shall be inclusive of all Services Delivered by third party suppliers and partners.  
,Work Package A - Contract Management,A.11,"11.3.Within the performance self-monitoring regime, the Supplier is required to:"
,Work Package A - Contract Management,A.11,11.3.1.    Operate procedures and systems to record information in support of performance monitoring and to enable regular robust performance reporting;
,Work Package A - Contract Management,A.11,11.3.2.    Monitor the performance of the Services via a programme of internal and external audits and inspections and trend analysis of recorded data in the CAFM System and produce Monthly performance reports for the Buyer; and
,Work Package A - Contract Management,A.11,"11.3.3.    Maintain a Management Information System (""MIS"") to analyse information on the performance of each required Service. It shall be capable of reporting performance against defined performance requirements."
,Work Package A - Contract Management,A.11,"11.4.The MIS system, utilised by the Supplier, shall at all times be capable of monitoring performance of Services, notwithstanding any changes in work practices, technology and agreed performance Standards.  "
,Work Package A - Contract Management,A.11,11.5.The Supplier shall be responsible for maintaining the MIS software and systems and shall ensure they use the latest software releases to maximise the benefits of new technology.
,Work Package A - Contract Management,A.11,"11.6.The Supplier shall work with the Buyer and support their internal management processes. The Supplier’s self-monitoring regime shall recognise these processes and capture feedback from Buyer audits and inspections, to include independent audits scheduled by the Buyer. The Supplier shall be responsible for taking appropriate action to Deliver agreed outcomes to identified issues and failures."
,Work Package A - Contract Management,,
,Work Package A - Contract Management,,"12.   Service A:12 - Business Continuity and Disaster Recovery (""BCDR"") Plan"
,Work Package A - Contract Management,,12.1.Service A:12 – Business Continuity and Disaster Recovery Plan is Mandatory for Lot 1a-lc.
