Work Package Code,Service Code,Service Line
A,A.2,"2.3.3. Their COVID-19 safety policy aligns with all regulations and any Public Health England (PHE) and Department of Health and Social Care (DHSC) guidelines for COVID19-secure workplaces, in addition to any further measures set out in the Health and safety Executive guidelines and/or agreed with the Authority. The Supplier shall recognise the regulations may vary between regions and across Devolved Administrations. The Supplier shall ensure that where required, they adopt and comply with any applicable regulations as appropriate wherever necessary;"
A,A.2,"2.3.4. The safety policy and safety management plan and COVID-19 safety plan shall be readily available and accessible to all their employees and anyone, including the Buyer, who may require sight of it;"
A,A.2,2.3.5. Details of their Safety Management plan and COVID-19 safety plan shall be reviewed and revised accordingly to take account of legislation and other factors that may affect its effectiveness; and
A,A.2,2.3.6. They have appropriate number of first aid and CPR trained Personnel deployed to successfully meet their own and the Buyer’s H&S requirements in accordance with the Health and Safety (First Aid Regulations) 1981.
A,A.2,"2.4. If required, the Supplier shall provide a professional advice service on all matters relating to the Health and Safety at Work Act 1974 and any subsequent re-enactments."
A,A.2,"2.5. If required, the Supplier shall provide a professional advice service on all matters relating to COVID-19 infection control, including health surveillance, reporting and welfare measures;"
A,A.2,2.6. The Services may be requested by mutual agreement between the Buyer and the Supplier and shall be limited to the Buyer Premises and FM issues.
A,A.2,2.7. The Supplier shall notify the Buyer in writing of any potential implications of not implementing the recommendations of any advice given in relation to health and safety and / or infection control policies.
A,A.2,2.8. The Supplier shall provide a single point of contact for professional advice pertaining to health and safety and infection control matters as they relate to the Delivery of the Services and management at each Buyer Premises.
A,A.2,2.9. The Supplier is required to provide a health and safety expert who is either a member of the Institution of Occupational Safety and Health (IOSH) or hold an equivalent qualification that is issued by a recognised organisation. Details of the professional qualifications and accreditation required will be defined in the Call-Off Procedure.
A,A.2,"2.10. The Supplier shall be responsible for recording and investigating all accidents, incidents, dangerous occurrences and near misses involving their staff, to include Subcontracted third party staff delivering FM Services on their behalf, and shall issue a written report, which shall include recommendations to prevent any repeat to the Buyer."
A,A.2,2.11. The Supplier shall be responsible for ensuring that all RIDDOR related incidents are reported in accordance with HSE legislation. The Supplier shall be responsible for ensuring that the Buyer is notified immediately in writing.
A,A.3,3. Service A3 - Management Services
A,A.3,3.1. The following Standards apply to this Service - SA3.
A,A.3,3.2. The Supplier shall:
A,A.3,3.2.1. Be responsible for ensuring a change management plan is in place which shall be developed and agreed with the Buyer at the Contract Mobilisation Period;
A,A.3,"3.2.2. Ensure that they have processes in place to attract, recruit and retain appropriately skilled and experienced Supplier Staff for the duration of the Call-Off Contract. The Supplier Staff shall be security cleared to SC level unless the Buyer specifies otherwise in the Call-Off Procedure. Details of the professional qualifications and accreditation required will be defined in the Call-Off Procedure."
A,A.3,3.2.3. Develop and maintain appropriate management and staffing levels for the supply of the Services as documented in the SDP within the FM Service Standards;
A,A.3,"3.2.4. Develop and maintain appropriate working practices, policies, procedures and methods to ensure that the Services are supplied in accordance with Annex A - FM Service Standards. The Supplier shall follow such FM Standards at all times;"
A,A.3,3.2.5. Review all method statements and risk assessments from Sub-Contractors prior to the start of any FM related activities to ensure:
A,A.3,3.2.5.1. The works processes and control measures are compliant with all health and safety and Buyer requirements; and
A,A.3,"3.2.5.2. All Supplier appointed Sub-Contractors Staff engaged in the work possess the relevant skills, qualifications and accreditations to undertake the works."
A,A.3,3.2.6. Comply with all of the Buyer’s procedures and Security Policies and act upon the instructions of the Buyer should there be a change in the threat assessment and response level (response level has the meaning given to it at SL10 of Annex A - FM Service Standards of this Framework Schedule 1 (Specification) associated with the Buyer Premises. Further details of the security requirements will be provided in the Call-Off Procedure;
A,A.3,3.2.7. Ensure that all staff adopt and follow all security contingency plans as directed by the Buyer in the event of a security alert or incident;
A,A.3,3.2.8. Be responsible for ensuring all Supplier Staff are provided with the necessary training in relation to their responsibilities and activities when changes in security status occur;
A,A.3,"3.2.9. Be aware that the of these enhanced measures may require all Supplier, Subcontractor and supply chain staff to vacate Buyer Premises as directed by the Buyer;"
A,A.3,3.2.10. Ensure that Supplier Staff and Subcontractors requiring access to the Buyer’s Premises have the appropriate security clearance. It is the Supplier's responsibility to establish whether the level of clearance will be sufficient for access;
A,A.3,"3.2.11.Unless prior Approval has been received from the Buyer, the Supplier shall be responsible for meeting the costs associated with security clearances for Supplier Staff and Subcontractors;"
A,A.3,3.2.12. Unless prior Approval has been received from the Buyer the Supplier shall be responsible for the provision of security cleared escort Services and shall meet all associated costs as required for works undertaken by the Supplier on in-scope Services; and
A,A.3,3.2.13. Recognise that some of the Buyer’s data is protectively marked and may contain potentially sensitive information and shall ensure that management systems are in place to maintain the security of the Buyer’s data. Further information will be provided in the Call-Off Procedure.
A,A.3,"3.3. The Suppliers staff, to include all sub-contracted and supply chain staff, shall cooperate with and assist the Buyer with the implementation of all enhanced security related measures required in the event that enhanced security measures be required in response to increased threat assessment and / or level of alert."
A,A.3,"3.4. Where required, the Supplier shall provide, maintain and repair any furniture, furnishings, special fittings, office equipment and training equipment for Supplier Staff located at Buyer Premises as necessary to provide the Service. The Supplier shall also provide Supplier Staff with all consumables necessary to deliver the Service including but not limited to stationery."
A,A.3,"3.5. The Supplier shall provide expert technical and professional advice to the Buyer upon request on issues related to the Services detailed within this Framework Schedule 1 (Specification). These shall include, where requested, advice on hybrid working and use of smart technology."
A,A.4,4. Service A4 - Service Delivery Plans (SDP)
A,A.4,4.1. The following Standards apply to this Service - SA4.
A,A.4,"4.2. The Supplier shall prepare a SDP for each Buyer’s requirements for Services in scope of the Call-Off Contract, describing its approach to providing the required Services. As a minimum, the buildings and Asset maintenance management SDP shall contain:"
A,A.4,4.2.1. Scope and Services objectives;
A,A.4,"4.2.2. Approach and methodology: Asset management method statement for meeting the Buyer’s requirements, including treatment of any lifecycle / sinking funds (if applicable) and details regarding where such funds will reside, safeguards on early draw down and control of such funds;"
A,A.4,4.2.3. Contract Variation Procedures and additional work requests;
A,A.4,"4.2.4. Operational structure including key roles, Personnel and resource proposals;"
A,A.4,"4.2.5. Carbon net zero strategy, to include but not be limited to initial assessment of Buyer Premises, development of action plan to reduce greenhouse emissions, performance measurement and reporting regimes and investment plans / opportunities;"
A,A.4,4.2.6. Planned Preventative Maintenance and Asset lifecycle replacement schedule and Delivery methodology;
A,A.4,4.2.7. Quality policy / quality statement;
A,A.4,4.2.8. Third party Suppliers / partners;
A,A.4,4.2.9. Balanced scorecard;
A,A.4,4.2.10. Procurement of Services;
A,A.4,4.2.11. Procurement of materials taking account of embodied carbon and recycled
A,A.4,content;
A,A.4,4.2.12. Management of energy use including lighting;
A,A.4,4.2.13. Planned Preventative Maintenance (PPM) methodology / SFG20 methodology / schedules; including Uniclass and NRM classifications for interoperability;
A,A.4,4.2.14. Computerised Asset management system;
A,A.4,4.2.15. A single common data environment are for hosting building information models and any associated current state and achieved geometry in line with PAS1192:3;
A,A.4,4.2.16. Building management system;
A,A.4,4.2.17. Routine maintenance;
A,A.4,4.2.18. Formulation of the PPM programme;
A,A.4,"4.2.19. Maintenance management, recording and reporting;"
A,A.4,4.2.20. Critical spares management;
A,A.4,4.2.21. Inspections;
A,A.4,4.2.22. Conservation and sustainability;
A,A.4,4.2.23. Maintenance and renewal;
A,A.4,4.2.24. Management arrangements;
A,A.4,4.2.25. Compliance management arrangements;
A,A.4,4.2.26. Performance management arrangements;
A,A.4,4.2.27. Social Value performance and reporting plan;
A,A.4,4.2.28. Quality management;
A,A.4,4.2.29. Complaints management processes;
A,A.4,4.2.30. Operational liaison;
A,A.4,4.2.31. Reactive maintenance Service; and
A,A.4,4.2.32. Reactive vandalism maintenance Service.
A,A.5,5. Service A5 - Fire Safety
A,A.5,5.1. The following Standards apply to this Service - SA5.
A,A.5,"5.2. Where requested to do so, the Supplier shall provide a professional advice service on all matters relating to the Regulatory Reform (Fire Safety) Order 2005 for each Buyer Premises. The cost of this service shall be included in the Charges."
A,A.5,5.3. The Buyer may require fire precautions. This will be at an additional cost to the Buyer.
A,A.5,6. - Service A6 - Accessibility Services
A,A.5,6.1. The following Standards apply to this Service - SA6.
A,A.5,6.2. The Supplier shall:
A,A.5,6.2.1. Provide advice relating to the Equality Act 2010 including health and safety matters;
A,A.5,6.2.2. Manage the procurement of specialist furniture and equipment (not IT equipment);
A,A.5,"6.2.3. Ensure continuous interactions with the Buyer's staff and stakeholders, including any Disability Advisor and the Occupational Health and Safety representatives;"
A,A.5,6.2.4. Provide advice on further special needs issues including technical problem-solving regarding access and signage;
A,A.5,6.2.5. Provide advice on health and safety matters as they relate to those with accessibility needs. The Supplier shall also take a pro-active approach and advise the Buyer of any investment that shall be made to improve the Buyer Premises. This includes access and egress for use of those with disabilities and to comply with the Equality Act 2010;
A,A.5,"6.2.6. Manage the supply of furniture for those with accessibility needs, including orthopaedic chairs. Where the Buyer requires the Supplier to supply these furniture items they shall be managed via the Billable Works and Projects process; and"
A,A.5,6.2.7. Provide advice relating to the Equality Act 2010 including health and safety matters.
A,A.7,7. Service A7 - Risk Management
A,A.7,7.1. The following Standards apply to this Service - SA7.
A,A.7,"7.2. The Supplier shall be responsible for the development of Contract specific risk register, which shall be reviewed, updated and issued to the Buyer (annually). Where new and/or significant risks are identified which have the potential to impact on the Buyer's business operation, service provision and / or performance standards, the Supplier shall be responsible for informing the Buyer of these risks within [24 hours] of their discovery."
A,A.7,"7.3. Where required and in conjunction with the Buyer, the Supplier shall construct a risk register for each Buyer Premises listed within the Call-Off Contract data. The Supplier shall have sole responsibility for the drafting and updating of the risk register."
A,A.7,7.4. The Supplier shall be required to operate business unit specific risk management systems including the drafting and updating of such systems.
A,A.8,8. Service A8 – Customer Satisfaction
A,A.8,8.1. The following Standards apply to this Service - SA8.
A,A.8,8.2. The Supplier shall ensure that:
A,A.8,"8.2.1. They have processes in place to provide a proactive and responsive customer service, managing customer satisfaction to the agreed levels throughout the duration of the Framework Contract Period;"
A,A.8,"8.2.2. They have processes in place for managing customer satisfaction, ensuring satisfactory customer service is provided to the Buyer, building users, occupants of Buyer housing, users of training facilities, all stakeholders and customers at all times;"
A,A.8,8.2.3. Their customer satisfaction processes align with the Buyer’s quality management system (QMS) where appropriate. Further information will be provided in the Call-Off Procedure; and
A,A.8,"8.2.4. They administer the formal process for handling service failures, complaints and works Recall as set out in Appendix 2 – Complaints, Failure and Recall Process."
A,A.8,8.3. The Supplier shall conduct [Monthly] customer satisfaction surveys as part of their ongoing commitment to Continuous Improvement and performance management (in addition to ensuring value for money).
A,A.8,8.4. The Supplier's SDPs shall contain details of the proposed methodology for carrying out the customer satisfaction surveys including:
A,A.8,"8.4.1. Survey method / medium (online, paper based etc.);"
A,A.8,"8.4.2. Approach to maximising synergies with Buyer's in-house or external performance measurement / customer experience processes, systems and Suppliers;"
A,A.8,8.4.3. Approach to maximising survey responses;
A,A.8,8.4.4. Sample / draft questionnaire; and
A,A.8,8.4.5. Approach to the analysis of results.
A,A.8,"8.5. Where the customer satisfaction survey results are of a score less than the agreed satisfaction level (satisfaction level to be agreed by the Buyer in the Call-Off Procedure), the Supplier shall:"
A,A.8,8.5.1. Investigate the cause of the dissatisfaction;
A,A.8,8.5.2. Produce an action plan to address the root cause of customer dissatisfaction; and
A,A.8,"8.5.3. Where appropriate, carry out further investigations to establish whether the cause of the dissatisfaction has been resolved."
A,A.8,8.6. The Supplier will ensure a collaborative approach is maintained with the Buyer and any Buyer appointed third-party Suppliers (e.g. IT provider) to ensure employee satisfaction scores are maintained at the required satisfaction levels. Further details of these requirements will be highlighted in the Call-Off Procedure.
A,A.9,9. Service A9 – Reporting
A,A.9,9.1. The following Standards apply to this Service - SA9.
A,A.9,9.2. The Supplier shall ensure that:
A,A.9,9.2.1. All data used to generate reports is held within or is accessible by the CAFM system;
A,A.9,9.2.2. They deliver a dynamic reporting capability to the Buyer via electronic interface accessible via portal and web browser facility;
A,A.9,"9.2.3. The format, standard and frequency of reporting is developed and agreed with the Buyer and Delivered in accordance with their requirements; and"
A,A.9,9.2.4. The information required to report against its agreed KPIs is contained within the CAFM system and maintained accurately at all times.
A,A.9,9.3. The Supplier shall provide a broad and comprehensive reporting solution under the following categories:
A,A.9,9.3.1. Industry-standard FM reports; and
A,A.9,9.3.2. Performance measurement and statistical reporting.
A,A.9,9.4. The Supplier shall provide reports relating to the performance of the Supplier and statistical information relating to the Services being provided which shall be included in the Charges. These shall include but not be limited to:
A,A.9,9.4.1. Reportable incidents;
A,A.9,9.4.2. Real time reporting;
A,A.9,9.4.3. Expert analysis reports;
A,A.9,9.4.4. Ad hoc reporting requirements;
A,A.9,9.4.5. Self-service reporting capability;
A,A.9,9.4.6. Performance measurement and reporting;
A,A.9,9.4.7. Risk management;
A,A.9,9.4.8. Buyer Premises related drawings; and
A,A.9,9.4.9. Framework MI reporting.
A,A.9,Reportable incidents
A,A.9,9.5. The Supplier shall inform the Buyer via the helpdesk service each time reportable incidents occur. These shall be recorded on the CAFM system and shall include:
A,A.9,"9.5.1. Health and safety accidents and incidents, to include HSE RIDDOR reports;"
A,A.9,9.5.2. Pollution and contamination incidents;
A,A.9,9.5.3. Statutory compliance failures;
A,A.9,"9.5.4. Asset and system failures, which may affect business continuity;"
A,A.9,9.5.5. Physical and document security breaches;
A,A.9,9.5.6. Service failures;
A,A.9,9.5.7. Instances of wilful damage or vandalism;
A,A.9,9.5.8. Issues with the potential to disrupt energy and utility provision;
A,A.9,9.5.9. Staff disciplinary issues where associated with personal integrity which may have the potential to damage the reputation of the Buyer; and
A,A.9,9.5.10.Complaints.
A,A.9,9.5.11.Further information on the reporting requirements will be provided in the Call-Off Procedure.
A,A.9,Real Time Reporting
A,A.9,9.6. The Supplier shall inform the Buyer directly and log details via the CAFM system each time reportable incidents occur. These shall include but not be limited to:
A,A.9,9.6.1. Complaints;
A,A.9,9.6.2. Health and safety accident reporting / RIDDOR reports;
A,A.9,9.6.3. Environmental incidents;
A,A.9,"9.6.4. Health and safety hazards (e.g. asbestos risks, legionella risks);"
A,A.9,9.6.5. Security breaches; and
A,A.9,9.6.6. Instances of accidental damage caused by the Supplier Staff.
A,A.9,9.6.7. Further information on the reporting requirements will be provided in the Call-Off Procedure.
A,A.9,Expert Analysis Reports
A,A.9,"9.7. The Supplier shall compile and analyse a suite of specific reports, which is to be agreed with the Buyer during the Mobilisation Period where applicable. These reports shall include but not be limited to:"
A,A.9,9.7.1. The Buyer's performance measurement and management of the Services;
A,A.9,9.7.2. The Buyer's performance measurement and management of the Carbon Net Zero performance;
A,A.9,"9.7.3. The Buyer's performance measurement regarding waste, to include statistics on waste diversion and waste recycling rates;"
A,A.9,"9.7.4. The Buyer's performance measurement regarding tenants (to include accommodation quality status, vacant accommodation availability and occupation levels);"
A,A.9,9.7.5. The Buyer's performance measurement and management of the Employee Customer Satisfaction Survey;
A,A.9,9.7.6. The Buyer's statutory compliance performance reporting processes and reporting regimes; and
A,A.9,"9.7.7. The Supplier shall interpret the reports and provide a written commentary of its expert analysis, as specified by the Buyer."
A,A.9,Ad Hoc Reporting Requirements
A,A.9,9.8. The Buyer may request the Supplier to create and generate ad hoc reports on its behalf.
A,A.9,"9.9. Where necessary and agreed, the Supplier shall provide the reports with expert commentary, as specified by the Buyer. Any associated costs for these ad hoc reports will be managed via Call-Off Schedule 25 - Billable Works and Projects."
A,A.9,"9.10. The Buyer is answerable to Parliament and, on occasion, is required to respond to parliamentary questions regarding the Buyer's Buyer Premises on an urgent basis. The Supplier shall comply with any such reasonable request in the event information is required under these circumstances."
A,A.9,Self-Service Reporting Capability
A,A.9,"9.11. The Supplier shall provide the Buyer with the ability to modify existing reports, or design and store user-specific reports on an ad hoc basis, as specified by the Buyer. Costs for these Services shall be included in the Charges."
A,A.9,Supplier Contractual Performance Measurement and Reporting
A,A.9,"9.12. The Supplier shall report on its own performance against the agreed KPIs and other measures reasonably requested by the Buyer. These reports shall include summaries at region, establishment, business and Service level, as appropriate, for the following:"
A,A.9,9.12.1. Achievement against KPI agreements;
A,A.9,9.12.2. Achievement against social value initiatives;
A,A.9,9.12.3. Achievement against carbon net zero initiatives;
A,A.9,9.12.4. Reasons for failure to meet any KPI agreements;
A,A.9,9.12.5. Performance failures accruing because of failure to meet KPI agreements;
A,A.9,9.12.6. Levels of statutory compliance;
A,A.9,9.12.7. Performance against sustainability plan;
A,A.9,"9.12.8. Details of performance against Planned Preventative Maintenance activities, including reactive works generated from Planned Preventative Maintenance activities;"
A,A.9,9.12.9. Details of Assets or systems taken out-of-service for health and safety or operational reasons;
A,A.9,9.12.10. Details of recommendations generated from Planned Preventative Maintenance works;
A,A.9,9.12.11. Reasons for failure to complete planned statutory and mandatory inspections / tasks;
A,A.9,9.12.12. Progress / status of work Orders;
A,A.9,"9.12.13. Waste volumes, including waste diversion reports and recycling volumes; 9.12.14. Achievement against the Delivery of statutory testing and inspections;"
A,A.9,"9.12.15. SME contractual performance (i.e. number of SMEs engagement sessions held, number appointed and value of cost of deliverables undertaken by appointed SMEs); and"
A,A.9,"9.12.16. Details of progress against Buyer agreed action plans for the following Month, which will be reviewed to check progress and track actions carried out to completion. The Buyer shall not unreasonably withhold or delay agreement of these action plans with the Supplier."
A,A.9,"Calculation of Supplier Performance Results against Annex E - Service Delivery Response Times, and the KPI Agreements in the Supplier Performance Mechanism"
A,A.9,"9.13. For performance measurement and reporting, the Supplier shall report against its performance by undertaking the following actions:"
A,A.9,9.13.1. Inputting performance data relating to its operational KPIs into the CAFM system.
A,A.9,9.13.2. Collating the data required to calculate its performance against the obligations in the Supplier performance mechanism; and
A,A.9,9.13.3. Measuring its performance each Month against each of their KPIs and calculate payment mechanism scores in accordance with its Supplier performance mechanism;
A,A.9,Reporting Supplier Performance Data and Associated Information
A,A.9,"9.14. During the Mobilisation Period, the Supplier shall provide a report for the Buyer on a Monthly basis. The format will be specified by the Buyer and agreed with the Supplier;"
A,A.9,9.15. The Supplier shall provide a quarterly report to the Buyer detailing the performance scores and associated Deductions calculated; and
A,A.9,9.16. The Supplier shall provide a reconciliation report to the Buyer within seven (7) calendar days following the end of each quarter.
A,A.9,"9.17. For statistical information reporting, the Supplier shall provide Monthly comprehensive Management Information statistics and trend analysis in relation to all aspects of the Services including:"
A,A.9,"9.17.1. Inbound volume, by type and region;"
A,A.9,"9.17.2. Completed Service requests, by inbound channel;"
A,A.9,9.17.3. Average and maximum call waiting times;
A,A.9,9.17.4. Average inbound call duration;
A,A.9,9.17.5. Volume of duplicate Service requests;
A,A.9,9.17.6. Total outbound calls;
A,A.9,9.17.7. Benchmarking; and
A,A.9,9.17.8. Volume of requests originated by the Supplier.
A,A.9,"9.18. The Supplier shall provide the Buyer with any required reports, written information or statistical information in relation to the Services against all data held within the CAFM system. This will be in response to reasonable ad hoc requests from the Buyer. The costs for this service shall be included in the Charges."
A,A.9,Risk Management
A,A.9,9.19. The Supplier shall provide comprehensive Monthly updates in relation to their contractual risk register. These shall include but not be limited to:
A,A.9,9.19.1. Progress against known and existing risks;
A,A.9,9.19.2. Risk mitigation activities; and
A,A.9,9.19.3. Newly identified risks.
A,A.9,Framework MI Reporting
A,A.9,9.20. The Supplier shall report on its own performance with the Authority and shall ensure the Management Information (MI) required by the Authority is produced in the required formats and is submitted by the agreed deadlines in accordance with the requirements outlined within Framework Schedule 4 Framework Management. The MI reporting shall include the following:
A,A.9,9.20.1. Modern slavery;
A,A.9,9.20.2. Carbon net zero;
A,A.9,9.20.3. Social value - Apprenticeships;
A,A.9,9.20.4. Social value – Progress against agreed Action Plans;
A,A.9,9.20.5. Social value - Workforce Diversity and Inclusion;
A,A.9,9.20.6. Social value - SMEs and VCSEs; and
A,A.9,9.20.7. Prompt payment compliance and performance.
A,A.9,9.21. The Supplier shall ensure they remain fully compliant with all MI reporting requirements and shall commit to maintain full compliance as the Authority develops enhanced reporting regimes throughout the lifetime of this Framework Contract.
A,A.9,Drawings
A,A.9,9.22. The Supplier shall:
A,A.9,9.22.1. Review existing Buyer drawings within the Mobilisation Period; and;
A,A.9,9.22.2. Produce a report containing recommendations and budget costs for the update and reconciliation of all Buyer Premises drawings with the aim of bringing them up to date where practicable and to enable them to be issued to the Buyer to meet Buyer reporting requirements.
A,A.9,9.23. Further details of this requirement will be provided by the Buyer in the Call-Off Procedure.
A,A.9,9.24. The costs for this service shall be managed via the Billable Works and Projects process.
A,A.10,10. Service A10 – Performance Self-Monitoring
A,A.10,10.1. The following Standards apply to this Service - SA10.
A,A.10,"10.2. The Supplier is required to undertake a performance self-monitoring regime, which is to be agreed with the Buyer. This shall be inclusive of all Services Delivered by third party Suppliers and partners."
A,A.10,"10.3. Within the performance self-monitoring regime, the Supplier is required to:"
A,A.10,10.3.1. Operate procedures and systems to record information in support of performance monitoring and to enable regular robust performance reporting;
A,A.10,10.3.2. Monitor the performance of the Services via a programme of internal and external audits and inspections and trend analysis of recorded data in the CAFM system and produce Monthly performance reports for the Buyer; and
A,A.10,10.3.3. Maintain a Management Information System (MIS) to analyse information on the performance of each required Service. It shall be capable of reporting performance against defined performance requirements.
A,A.10,"10.4. The MIS system, utilised by the Supplier, shall be capable of monitoring performance of Services, notwithstanding any changes in work practices, technology and agreed performance Standards at all times."
A,A.10,10.5. The Supplier shall be responsible for maintaining the MIS software and systems and shall ensure they use the latest software releases to maximise the benefits of new technology.
A,A.10,"10.6. The Supplier shall work with the Buyer and support their internal management processes. The Supplier’s self-monitoring regime shall recognise these processes and capture feedback from Buyer audits and inspections, to include independent audits scheduled by the Buyer. The Supplier shall be responsible for taking appropriate action to Deliver agreed outcomes to identified issues and failures."
A,A.11,11. Service A11 - Business Continuity and Disaster Recovery (BCDR) Plan
A,A.11,11.1. The following Standards apply to this Service - SA11.
A,A.11,"11.2. In accordance with Call-Off Schedule 8 - Business Continuity and Disaster Recovery, the Supplier shall have a BCDR plan to Deliver the Services at each Buyer Premises throughout the duration of the Call-Off Contract."
A,A.11,11.3. The Supplier shall:
A,A.11,11.3.1. Notify the Buyer as soon as it becomes aware of a Business Critical Event or a likely Business Critical Event. The Supplier shall collaborate with the Buyer to ensure that the BCDR Plan interfaces seamlessly to support the Buyer's business;
A,A.11,11.3.2. Liaise with the Buyer to ensure that appropriate communication lines are maintained;
A,A.11,11.3.3. Ensure that its BCDR Plan addresses the loss of or disruption to all energy supplies and shall ensure that these have been reviewed and Tested to a programme agreed with the Buyer. The Supplier shall coordinate the BCDR Plan with the Buyer and utilities providers;
A,A.11,11.3.4. Ensure its BCDR Plan is executed as planned with due expediency following the loss of one or more energy supplies. The Supplier shall inform the Buyer of all scheduled interruptions to any energy supply if it may affect the Buyer's operations; and
A,A.11,11.3.5. Provide its BCDR Plan within thirty (30) Working Days (or as otherwise agreed by the Buyer during the Mobilisation Period) following the Call-Off Start Date. The BCDR Plan shall be reviewed on a regular basis and as a minimum once every six (6) Months.
A,A.11,"11.4. At the request of the Buyer, the Supplier shall assist in Testing the Buyer's BCDR Plan at intervals to be agreed by both Parties."
A,A.11,"11.5. The Buyer may require the provision of professional advice in relation to its own BCDR Plan, including the safe evacuation of Buyer Premises during an emergency and the operation of emergency systems. This advice shall be of a practical nature and shall relate to the on-going provision of the Services at each Buyer Premises. The Supplier shall note that the acquisition and setting-up of immediate replacement accommodation shall not be required as part of this Service."
A,A.11,11.6. The Buyer's BCDR Plan is confidential and the Buyer will decide which information will be divulged to assist in the process. Any information divulged must be treated as confidential and shall not be issued to others without the written permission of the Buyer.
A,A.12,12. Service A12 – Quality Management Systems
A,A.12,12.1. The following Standards apply to this Service - SA12.
A,A.12,"12.2. The Supplier shall have in place ISO 9001, ISO 14001, ISO 27001 (lots 1c, 2c & 3c only) and Cyber Essentials accreditation."
A,A.12,12.3. The Supplier shall maintain such accreditation throughout the Framework Initial Period.
A,A.12,12.4. The Supplier shall provide the Authority with evidence of its ISO and Cyber Essentials accreditations upon request at any time during the Framework Initial Period.
A,A.12,"12.5. The Supplier shall implement the required quality management plans in accordance with the ISO and Cyber Essential Accreditation, which shall include a proposed methodology to align with and support the Buyer's existing ISO accreditations and its related systems and for delivering Continuous Improvement."
A,A.12,"12.6. The Supplier shall be responsible for undertaking an annual review of their management systems with the Buyer to ensure compliance with all relevant ISO Accreditations to ensure the management systems continue to be suitable, adequate and effective."
A,A.12,"12.7. The Supplier shall develop and agree their ISO quality Audit programme with the Buyer during Contract Mobilisation Period, in accordance with Call-Off Schedule 13 - Mobilisation Plan and Testing. The programme shall show registration body inspection visits, Buyer audits, internal Supplier assessor visits and audits Delivered by independent bodies."
A,A.12,12.8. Where requested by the Buyer the Suppliers quality management systems shall be accredited by the UK Accreditation Service (UKAS). Further details of the requirement will be provided in the Call-Off Procedure.
A,A.13,"13. Service A13 – Staff Management, Recruitment and Training"
A,A.13,13.1. The following Standards apply to this Service - SA13.
A,A.13,"13.2. The Supplier shall attract, recruit and retain staff to deliver the required Services and any future expansion of the required Services."
